"","year","island","biomass","SE","group"
"64",2010,"Baker",45.0199528215692,23.1389174294971,"Piscivores"
"65",2012,"Baker",27.840520089805,4.54690024271911,"Piscivores"
"66",2015,"Baker",17.5119684764096,2.24025037736106,"Piscivores"
"67",2010,"Howland",22.187557137702,3.48552461802353,"Piscivores"
"68",2012,"Howland",30.2666220424811,2.42837308011887,"Piscivores"
"69",2015,"Howland",20.8313067598649,2.17660887175902,"Piscivores"
"70",2010,"Jarvis",55.0789087908474,14.9717908092454,"Piscivores"
"71",2012,"Jarvis",43.0012357325428,5.37785129534425,"Piscivores"
"72",2015,"Jarvis",28.0490195341759,2.49403227412619,"Piscivores"
"73",2010,"Johnston",7.52868955865361,2.87605478210145,"Piscivores"
"74",2012,"Johnston",10.3275011903969,3.57650074843109,"Piscivores"
"75",2015,"Johnston",9.11260396332638,3.55659203503076,"Piscivores"
"76",2010,"Kingman",42.3336935901979,5.13942976407295,"Piscivores"
"77",2012,"Kingman",48.3220276663991,5.88869099879611,"Piscivores"
"78",2015,"Kingman",38.8913069008565,3.126574380974,"Piscivores"
"79",2010,"Palmyra",28.2330631353039,4.91629589457409,"Piscivores"
"80",2012,"Palmyra",41.2538112954851,5.27808755640078,"Piscivores"
"81",2015,"Palmyra",30.1816388426281,3.8887778388669,"Piscivores"
"82",2009,"Wake",5.28199738920392,0.906558327819686,"Piscivores"
"83",2011,"Wake",5.47426688252538,0.641524109406641,"Piscivores"
"84",2014,"Wake",7.17168798203454,1.5737043704751,"Piscivores"
