,,,,,,,,,,,MacNeil et al. ,,In review paper from Ivor,Ivor most recent,,,,,,,,,
spp,SPECIES,FAMILY,family,COMMONFAMILYALL,TROPHIC_MONREP,A2_guild,TOPHIC_MONREP,size,habitat,Included,fg,EDITED,A2_fg,Ivor_F1,Ivor_F2,A2_size,A2_schooling,Ivor_guild,criteria,,,,
Hyporhamphus acutus,NA,NA,Hemiramphidae,NA,NA,NA,NA,30,Pelagic,0,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Itycirrhitus wilhelmi,NA,NA,Cirrhitidae,NA,NA,NA,NA,12,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Katsuwonus pelamis,NA,NA,Scombridae,NA,NA,NA,NA,110,Pelagic,0,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Koumansetta hectori,NA,NA,Gobiidae,NA,NA,NA,NA,-999,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Kyphosus bigibbus,NA,NA,Kyphosidae,NA,NA,NA,NA,75,Reef,1,Browser,,NA,NA,NA,NA,NA,NA,NA,,,,
Kyphosus sectatrix,NA,NA,Kyphosidae,NA,NA,NA,NA,76,Mangroves,0,Browser,,NA,NA,NA,NA,NA,NA,NA,,,,
Labrid sp,NA,NA,Labridae,NA,NA,NA,NA,14,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Labrid sp,NA,NA,Labridae,NA,NA,NA,NA,14,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Labrisomus gobio,NA,NA,Labrisomidae,NA,NA,NA,NA,6.5,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Labropsis australis,NA,NA,Labridae,NA,NA,NA,NA,10.5,Reef,1,Corallivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Labropsis polynesica,NA,NA,Labridae,NA,NA,NA,NA,7.9,Reef,1,Corallivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lachnolaimus maximus,NA,NA,Labridae,NA,NA,NA,NA,91,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lactophrys bicaudalis,NA,NA,Ostraciidae,NA,NA,NA,NA,48,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lactophrys trigonus,NA,NA,Ostraciidae,NA,NA,NA,NA,55,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lactophrys triqueter,NA,NA,Ostraciidae,NA,NA,NA,NA,47,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lactoria diaphana,NA,NA,Ostraciidae,NA,NA,NA,NA,34,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Larbichthys unilineatus,NA,NA,Labridae,NA,NA,NA,NA,17.5,Reef,1,Corallivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Leptoscarus vaigiensis,NA,NA,Scaridae,NA,NA,NA,NA,35,Reef,1,Browser,,NA,NA,NA,NA,NA,NA,NA,,,,
Lethrinus enigmaticus,NA,NA,Lethrinidae,NA,NA,NA,NA,55,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lethrinus lentjan,NA,NA,Lethrinidae,NA,NA,NA,NA,52,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lethrinus mahsena,NA,NA,Lethrinidae,NA,NA,NA,NA,65,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lethrinus microdon,NA,NA,Lethrinidae,NA,NA,NA,NA,80,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lethrinus microdon,NA,NA,Lethrinidae,NA,NA,NA,NA,80,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lethrinus miniatus,NA,NA,Lethrinidae,NA,NA,NA,NA,90,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lethrinus nebulosus,NA,NA,Lethrinidae,NA,NA,NA,NA,87,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lethrinus olivaceous,NA,NA,Lethrinidae,NA,NA,NA,NA,100,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lethrinus xanthocheilus,NA,NA,Lethrinidae,NA,NA,NA,NA,70,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Liopropoma rubre,NA,NA,Serranidae,NA,NA,NA,NA,10,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lotilia graciliosa,NA,NA,Gobiidae,NA,NA,NA,Planktivore,4.5,Reef,1,Detritivore,,NA,PK,PK,NA,NA,Pk,0,,,,
Lucayablennius zingaro,NA,NA,Chaenopsidae,NA,NA,NA,NA,3.8,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus analis,NA,NA,Lutjanidae,NA,NA,NA,NA,94,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus apodus,NA,NA,Lutjanidae,NA,NA,NA,NA,67.2,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus argentimaculatus,NA,NA,Lutjanidae,NA,NA,NA,NA,150,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus bengalensis,NA,NA,Lutjanidae,NA,NA,NA,NA,30,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus biguttatus,NA,NA,Lutjanidae,NA,NA,NA,NA,25,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus carponotatus,NA,NA,Lutjanidae,NA,NA,NA,NA,40,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus cyanopterus,NA,NA,Lutjanidae,NA,NA,NA,NA,160,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus decussatus,NA,NA,Lutjanidae,NA,NA,NA,NA,35,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus ehrenbergii,NA,NA,Lutjanidae,NA,NA,NA,NA,35,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus fulviflamma,NA,NA,Lutjanidae,NA,NA,NA,NA,35,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus griseus,NA,NA,Lutjanidae,NA,NA,NA,NA,89,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus jocu,NA,NA,Lutjanidae,NA,NA,NA,NA,128,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus lutjanus,NA,NA,Lutjanidae,NA,NA,NA,NA,35,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus mahogoni,NA,NA,Lutjanidae,NA,NA,NA,NA,48,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus maxweberi,NA,NA,Lutjanidae,NA,NA,NA,NA,15,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus quinquelineatus,NA,NA,Lutjanidae,NA,NA,NA,NA,38,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus rivulatus,NA,NA,Lutjanidae,NA,NA,NA,NA,80,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus russeli,NA,NA,Lutjanidae,NA,NA,NA,NA,50,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus sp,NA,NA,Lutjanidae,NA,NA,NA,NA,55,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus sp,NA,NA,Lutjanidae,NA,NA,NA,NA,55,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Lutjanus synagris,NA,NA,Lutjanidae,NA,NA,NA,NA,60,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Luzonichthys sp,NA,NA,Serranidae,NA,NA,NA,NA,5.8,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Macropharyngodon bipartitus,NA,NA,Labridae,NA,NA,NA,NA,13,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Macropharyngodon sp,NA,NA,Labridae,NA,NA,NA,NA,15,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Macropharyngodon sp,NA,NA,Labridae,NA,NA,NA,NA,15,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Malacanthus plumieri,NA,NA,Malacanthidae,NA,NA,NA,NA,70,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Malacoctenus boehlkei,NA,NA,Labrisomidae,NA,NA,NA,NA,6.4,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Malacoctenus macropus,NA,NA,Labrisomidae,NA,NA,NA,NA,5.5,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Malacoctenus triangulatus,NA,NA,Labrisomidae,NA,NA,NA,NA,7.5,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Melichthys indicus,NA,NA,Balistidae,NA,NA,NA,NA,25,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Melichthys sp,NA,NA,Balistidae,NA,NA,NA,NA,37,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Melichthys sp,NA,NA,Balistidae,NA,NA,NA,NA,37,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Micrognathus ensenadae,NA,NA,Sygnathidae,NA,NA,NA,NA,15,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Microspathodon chrysurus,NA,NA,Pomacentridae,NA,NA,NA,NA,21,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Monacanthus tuckeri,NA,NA,Monacanthidae,NA,NA,NA,NA,10,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Mulloidichthys martinicus,NA,NA,Mullidae,NA,NA,NA,NA,39.4,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Mycteroperca bonaci,NA,NA,Serranidae,NA,NA,NA,NA,150,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Mycteroperca interstitialis,NA,NA,Serranidae,NA,NA,NA,NA,84,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Mycteroperca tigris,NA,NA,Serranidae,NA,NA,NA,NA,101,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Mycteroperca venenosa,NA,NA,Serranidae,NA,NA,NA,NA,100,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Mycteroperce institialis,NA,NA,Serranidae,NA,NA,NA,NA,84,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Myrichthys breviceps,NA,NA,Ophichthidae,NA,NA,NA,NA,102,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Myripristis jacobus,NA,NA,Holocentridae,NA,NA,NA,NA,25,Nocturnal,0,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Myripristis tiki,NA,NA,Holocentridae,NA,NA,NA,NA,26.5,Nocturnal,0,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Myrpristis amaena,NA,NA,Holocentridae,NA,NA,NA,NA,27,Nocturnal,0,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Naso tuberosus,NA,NA,Acanthuridae,NA,NA,NA,NA,60,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Nemanthias carberryi,NA,NA,Serranidae,NA,NA,NA,NA,13,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Neoglyphidodon melas,NA,NA,Pomacentridae,NA,NA,NA,NA,18,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Neoglyphidodon nigroris,NA,NA,Pomacentridae,NA,NA,NA,NA,13,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Neoiphon marianus,NA,NA,Holocentridae,NA,NA,NA,NA,18,Nocturnal,0,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Neomyxus leuciscus,NA,NA,Mugilidae,NA,NA,NA,NA,46,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Neopomacentrus azysron,NA,NA,Pomacentridae,NA,NA,NA,NA,7.5,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Nes longus,NA,NA,Gobiidae,NA,NA,NA,NA,10,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Ocyurus chrysurus,NA,NA,Lutjanidae,NA,NA,NA,NA,86.3,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Odontoscion dentex,NA,NA,Sciaenidae,NA,NA,NA,NA,30,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Omobranchus rotundiceps,NA,NA,Blenniidae,NA,NA,NA,NA,10,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Ophioblennius macclurei,NA,NA,Blenniidae,NA,NA,NA,NA,12.2,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Ophioblennius macclurei,NA,NA,Blenniidae,NA,NA,NA,NA,12.2,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Ophioblennius macclurei,NA,NA,Blenniidae,NA,NA,NA,NA,12.2,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Opistognathus aurifrons,NA,NA,Opistognathidae,NA,NA,NA,NA,10,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Ostorhinchus angustatus,NA,NA,Apogonidae,NA,NA,NA,NA,11,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Ostracion solorensis,NA,NA,Ostraciidae,NA,NA,NA,NA,12,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Oxycheilinus arenatus,NA,NA,Labridae,NA,NA,NA,NA,21,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Oxycheilinus celebicus,NA,NA,Labridae,NA,NA,NA,NA,24,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Oxycheilinus orientalis,NA,NA,Labridae,NA,NA,NA,NA,20,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Oxycheilinus rhodochrous,NA,NA,Labridae,NA,NA,NA,NA,20,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Parablennius marmoratus,NA,NA,Blenniidae,NA,NA,NA,Herb,15.2,Reef,1,Detritivore,,NA,OTH_HERB,OTH_HERB,NA,NA,H,0,,,,
Paradiplogrammus bairdi,NA,NA,Callionymidae,NA,NA,NA,NA,11.4,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Paragobiodon echinocephalus,NA,NA,Gobiidae,NA,NA,NA,NA,4,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Paranthias furcifer,NA,NA,Serranidae,NA,NA,NA,NA,30,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Parapercis hexophtalma,NA,NA,Pinguipedidae,NA,NA,NA,NA,29,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Parapercis hexophthalma,NA,NA,Pinguipedidae,NA,NA,NA,NA,29,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Parapercis millipunctata,NA,NA,Pinguipedidae,NA,NA,NA,NA,18,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Parapercis nebulosa,NA,NA,Pinguipedidae,NA,NA,NA,NA,25,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Parapercis schauinslandi,NA,NA,Pinguipedidae,NA,NA,NA,NA,18,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pareques acuminatus,NA,NA,Sciaenidae,NA,NA,NA,NA,23,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Parupeneus barberinoides,NA,NA,Mullidae,NA,NA,NA,NA,30,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Parupeneus bifasciatus,NA,NA,Mullidae,NA,NA,NA,NA,35,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Parupeneus ciliatus,NA,NA,Mullidae,NA,NA,NA,NA,38,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Parupeneus indicus,NA,NA,Mullidae,NA,NA,NA,NA,45,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Parupeneus macronemus,NA,NA,Mullidae,NA,NA,NA,NA,40,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Parupeneus macronemus,NA,NA,Mullidae,NA,NA,NA,NA,40,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Parupeneus orientalis,NA,NA,Mullidae,NA,NA,NA,NA,24.9,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Parupeneus rubescens,NA,NA,Mullidae,NA,NA,NA,NA,43,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Parupeneus trifasciatus,NA,NA,Mullidae,NA,NA,NA,NA,35,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pempheris schomburgki,NA,NA,Pempheridae,NA,NA,NA,NA,15,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pempheris vanicolensis,NA,NA,Pempheridae,NA,NA,NA,NA,20,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Phaeoptyx xenus,NA,NA,Apogonidae,NA,NA,NA,NA,7.5,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Plagiotremus laudandus,NA,NA,Blenniidae,NA,NA,NA,NA,8,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Plagiotremus taepinosoma,NA,NA,Blenniidae,NA,NA,NA,NA,14,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Platax batavianus,NA,NA,Ephippidae,NA,NA,NA,NA,65,Pelagic,0,NA,,NA,B ,B ,NA,NA,NA,0,,,,
Platax sp,NA,NA,Ephippidae,NA,NA,NA,NA,60,Pelagic,0,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Platax sp,NA,NA,Ephippidae,NA,NA,NA,NA,60,Pelagic,0,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Plectorhinchus chaetodonoides,NA,NA,Haemulidae,NA,NA,NA,NA,72,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Plectorhinchus flavomaculatus,NA,NA,Haemulidae,NA,NA,NA,NA,60,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Plectorhinchus orientalis,NA,NA,Haemulidae,NA,NA,NA,NA,86,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Plectorhinchus pictus,NA,NA,Haemulidae,NA,NA,NA,NA,83,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Plectorhinchus schotaf,NA,NA,Haemulidae,NA,NA,NA,NA,80,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Plectroglyphidodon flaviventris,NA,NA,Pomacentridae,NA,NA,NA,NA,7,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Plectropomus leopardus,NA,NA,Serranidae,NA,NA,NA,NA,120,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Plectropomus leopardus,NA,NA,Serranidae,NA,NA,NA,NA,120,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Plectropomus maculatus,NA,NA,Serranidae,NA,NA,NA,NA,125,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Plectropomus pessuliferus,NA,NA,Serranidae,NA,NA,NA,NA,120,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Plectropomus punctatus,NA,NA,Serranidae,NA,NA,NA,NA,96,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Plectrypops retrospinis,NA,NA,Holocentridae,NA,NA,NA,NA,15,Nocturnal,0,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacanthus arcuatus,NA,NA,Pomacanthidae,NA,NA,NA,NA,60,Reef,1,Spongivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacanthus navarchus,NA,NA,Pomacanthidae,NA,NA,NA,NA,28,Reef,1,Spongivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacanthus paru,NA,NA,Pomacanthidae,NA,NA,NA,NA,41.1,Reef,1,Spongivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacanthus semicirculatus,NA,NA,Pomacanthidae,NA,NA,NA,NA,40,Reef,1,Spongivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacanthus sextriatus,NA,NA,Pomacanthidae,NA,NA,NA,NA,46,Reef,1,Spongivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacentrus adelus,NA,NA,Pomacentridae,NA,NA,NA,NA,8.5,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacentrus amboinensis,NA,NA,Pomacentridae,NA,NA,NA,Planktivore,9,Reef,1,Spongivore,,NA,PK,PK,NA,NA,Pk,0,,,,
Pomacentrus bankanensis,NA,NA,Pomacentridae,NA,NA,NA,NA,9,Reef,1,Spongivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacentrus caeruleus,NA,NA,Pomacentridae,NA,NA,NA,NA,10,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacentrus indicus,NA,NA,Pomacentridae,NA,NA,NA,NA,11,Reef,1,Spongivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacentrus lepidogenys,NA,NA,Pomacentridae,NA,NA,NA,NA,9,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacentrus moluccensis,NA,NA,Pomacentridae,NA,NA,NA,NA,9,Reef,1,Spongivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacentrus nagasakiensis,NA,NA,Pomacentridae,NA,NA,NA,NA,11,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacentrus sp,NA,NA,Pomacentridae,NA,NA,NA,NA,10,Reef,1,Spongivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacentrus sp,NA,NA,Pomacentridae,NA,NA,NA,NA,10,Reef,1,Spongivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacentrus sp,NA,NA,Pomacentridae,NA,NA,NA,NA,11,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacentrus sulfureus,NA,NA,Pomacentridae,NA,NA,NA,NA,11,Reef,1,Spongivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacentrus trilineatus,NA,NA,Pomacentridae,NA,NA,NA,NA,10,Reef,1,Spongivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomacentrus wardi,NA,NA,Pomacentridae,NA,NA,NA,NA,8,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Pomochromis fuscidorsalis,NA,NA,Pomacentridae,NA,NA,NA,NA,6,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Priacanthus arenatus,NA,NA,Holocentridae,NA,NA,NA,NA,50,Nocturnal,0,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Priolepis eugenius,NA,NA,Gobiidae,NA,NA,NA,NA,5.6,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Priolepis hipoliti,NA,NA,Gobiidae,NA,NA,NA,NA,4,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Prognathodes aculeatus,NA,NA,Chaetodontidae,NA,NA,NA,NA,10,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pseudanthias carburyi,NA,NA,Serranidae,NA,NA,NA,NA,12,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pseudanthias evansi,NA,NA,Serranidae,NA,NA,NA,NA,12,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pseudanthias mooreanus,NA,NA,Serranidae,NA,NA,NA,NA,7.2,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pseudanthias squamipinnis,NA,NA,Serranidae,NA,NA,NA,NA,15,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pseudanthias tuka,NA,NA,Labridae,NA,NA,NA,NA,12,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pseudanthias ventralis,NA,NA,Serranidae,NA,NA,NA,NA,7,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pseudocheilinus citrinus,NA,NA,Labridae,NA,NA,NA,NA,6.6,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pseudolabrus fuentesi,NA,NA,Labridae,NA,NA,NA,NA,16.5,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pseudolabrus fuentesi,NA,NA,Labridae,NA,NA,NA,NA,16.5,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pseudolabrus semifasciatus,NA,NA,Labridae,NA,NA,NA,NA,25,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pseudopeneus maculatus,NA,NA,Mullidae,NA,NA,NA,NA,30,Reef,1,Macro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pterocaesio  trilineata,NA,NA,Caesionidae,NA,NA,NA,NA,20,Pelagic,0,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pterocaesio lativittata,NA,NA,Caesionidae,NA,NA,NA,NA,23,Pelagic,0,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pterocaesio pisang,NA,NA,Caesionidae,NA,NA,NA,NA,21,Pelagic,0,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Pterois sp,NA,NA,Scorpaenidae,NA,NA,NA,NA,20,Reef,1,Pisci-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
