"","DIVEID","SPECIES","SIZE_","COUNT","biomass_g","PROJECTEDLENGTH","BIOGM2","ABUNM2","FAMILY","TAXONNAME","TROPHIC_MONREP","REGION","ISLAND","REEF_ZONE","OBS_YEAR","DEPTH"
"58",200009154,"NONE",0,0,0,2613.20956729,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Backreef",2000,15.152888871
"59",200009161,"WRAS",63,2,10789.4445691846,1702.54783871,0.633723430488721,0.000117471001667441,"Labridae","Labridae","SECONDARY","NWHI","Gardner","Forereef",2000,NA
"60",200009161,"NONE",0,0,0,1702.54783871,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Gardner","Forereef",2000,NA
"61",200009161,"CASP",63,11,36350.6579808174,1702.54783871,2.13507410213858,0.000646090509170924,"Carangidae","Caranx sp","PISCIVORE","NWHI","Gardner","Forereef",2000,NA
"62",200009161,"CAIG",63,1,3695.716947723,1702.54783871,0.217069785864179,5.87355008337204e-05,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Gardner","Forereef",2000,NA
"63",200009171,"NONE",0,0,0,2665.3957478,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,12.686855603
"64",200009171,"CASP",63,1,3304.6052709834,2665.3957478,0.123981786708822,3.75178808184636e-05,"Carangidae","Caranx sp","PISCIVORE","NWHI","Maro","Forereef",2000,12.686855603
"65",200009172,"CASP",63,1,3304.6052709834,2659.90792398,0.124237581353521,3.75952863249382e-05,"Carangidae","Caranx sp","PISCIVORE","NWHI","Maro","Forereef",2000,7.01472144
"66",200009172,"NONE",0,0,0,2659.90792398,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,7.01472144
"67",200009173,"NONE",0,0,0,2230.61066454,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,7.374966693
"68",200009173,"WRAS",63,1,5394.72228459229,2230.61066454,0.24184956928397,4.48307728415807e-05,"Labridae","Labridae","SECONDARY","NWHI","Maro","Forereef",2000,7.374966693
"69",200009174,"NONE",0,0,0,2565.35001676,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,7.754555583
"70",200009174,"CAIG",63,1,3695.716947723,2565.35001676,0.14406287343162,3.89810354714475e-05,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Maro","Forereef",2000,7.754555583
"71",200009174,"TROB",63,1,887.3215901838,2565.35001676,0.0345887143815359,3.89810354714475e-05,"Carcharhinidae","Triaenodon obesus","PISCIVORE","NWHI","Maro","Forereef",2000,7.754555583
"72",200009175,"NONE",0,0,0,2505.73503398,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,13.756025155
"73",200009175,"CAIG",63,1,3695.716947723,2505.73503398,0.147490333080146,3.99084494744699e-05,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Maro","Forereef",2000,13.756025155
"74",200009181,"NONE",0,0,0,1970.69096063,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,NA
"75",200009182,"NONE",0,0,0,2670.20945059,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,NA
"76",200009182,"SCSP",63,2,8917.81031230856,2670.20945059,0.333974187318456,7.49004914037019e-05,"Scaridae","Scarus sp","PRIMARY","NWHI","Maro","Forereef",2000,NA
"77",200009183,"NONE",0,0,0,2173.44071591,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,NA
"78",200009183,"CAIG",63,6,22174.301686338,2173.44071591,1.02023954571284,0.000276059979739905,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Maro","Forereef",2000,NA
"79",200009184,"NONE",0,0,0,2163.48340242,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,NA
"80",200009184,"SCSP",63,2,8917.81031230856,2163.48340242,0.412196844326765,9.244351020964e-05,"Scaridae","Scarus sp","PRIMARY","NWHI","Maro","Forereef",2000,NA
"81",200009191,"NONE",0,0,0,2004.94669272,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,11.846877824
"82",200009192,"NONE",0,0,0,2755.02679099,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,9.901788805
"83",200009193,"MABI",225,1,186806.25,1902.15189684,9.8207850966233,5.25720370524182e-05,"Myliobatidae","Manta birostris","PLANKTIVORE","NWHI","Maro","Forereef",2000,11.52616663
"84",200009193,"NONE",0,0,0,1902.15189684,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,11.52616663
"85",200009194,"NONE",0,0,0,2419.9180663,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,12.794755649
"86",200009201,"SCSP",63,7,31212.33609308,2268.55038593,1.37587140610432,0.000308567093921096,"Scaridae","Scarus sp","PRIMARY","NWHI","Maro","Forereef",2000,15.355366515
"87",200009201,"NONE",0,0,0,2268.55038593,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,15.355366515
"88",200009201,"NASP",63,12,60589.2892694153,2268.55038593,2.67083727322973,0.000528972161007592,"Acanthuridae","Naso sp","PLANKTIVORE","NWHI","Maro","Forereef",2000,15.355366515
"89",200009201,"CAIG",63,9,33261.452529507,2268.55038593,1.46619853523207,0.000396729120755694,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Maro","Forereef",2000,15.355366515
"90",200009201,"ACSP",55,3,9539.99854077272,2268.55038593,0.420532803676819,0.000132243040251898,"Acanthuridae","Acanthurus sp","PRIMARY","NWHI","Maro","Forereef",2000,15.355366515
"91",200009202,"NONE",0,0,0,2221.86955612,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,12.130982733
"92",200009202,"SCSP",63,1,4458.90515615428,2221.86955612,0.200682580301463,4.50071426221023e-05,"Scaridae","Scarus sp","PRIMARY","NWHI","Maro","Forereef",2000,12.130982733
"93",200009203,"NONE",0,0,0,2080.87138692,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,NA
"94",200009204,"NONE",0,0,0,2299.0027922,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Maro","Forereef",2000,11.951855661
"95",200009204,"CAIG",63,1,3695.716947723,2299.0027922,0.160753043026383,4.34971198553031e-05,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Maro","Forereef",2000,11.951855661
"96",200009211,"NONE",0,0,0,2079.76177293,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Laysan","Forereef",2000,NA
"97",200009211,"CAIG",63,4,14782.867790892,2079.76177293,0.710796206724469,0.000192329720262371,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Laysan","Forereef",2000,NA
"98",200009212,"NONE",0,0,0,2258.91459297,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Laysan","Forereef",2000,NA
"99",200009212,"CAIG",63,3,11087.150843169,2258.91459297,0.490817620005355,0.000132807145933553,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Laysan","Forereef",2000,NA
"100",200009213,"NONE",0,0,0,2094.84177531,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Laysan","Forereef",2000,NA
"101",200009214,"NONE",0,0,0,2042.25269303,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Laysan","Forereef",2000,NA
"102",200009215,"NONE",0,0,0,2189.40340697,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Laysan","Forereef",2000,NA
"103",200009216,"NONE",0,0,0,1948.14589816,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Laysan","Forereef",2000,NA
"104",200009216,"CAIG",63,1,3695.716947723,1948.14589816,0.189704320975835,5.13308577629883e-05,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Laysan","Forereef",2000,NA
"105",200009221,"NONE",0,0,0,2287.64565101,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Lisianski","Forereef",2000,11.013799953
"106",200009222,"NONE",0,0,0,2531.90193183,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Lisianski","Forereef",2000,9.919218253
"107",200009224,"NONE",0,0,0,2144.38107034,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Lisianski","Forereef",2000,10.19604459
"108",200009231,"NONE",0,0,0,2446.48908322,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Lisianski","Forereef",2000,12.840388823
"109",200009231,"CAIG",63,3,11087.150843169,2446.48908322,0.453186197282205,0.000122624704135262,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Lisianski","Forereef",2000,12.840388823
"110",200009232,"NONE",0,0,0,1967.23224349,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Lisianski","Forereef",2000,9.056388902
"111",200009233,"NONE",0,0,0,2325.80903824,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Lisianski","Forereef",2000,11.968711186
"112",200009233,"TROB",63,1,887.3215901838,2325.80903824,0.038151093903017,4.29957912949176e-05,"Carcharhinidae","Triaenodon obesus","PISCIVORE","NWHI","Lisianski","Forereef",2000,11.968711186
"113",200009233,"SHAR",63,1,1342.58309268775,2325.80903824,0.0577254224492876,4.29957912949176e-05,"Carcharhinidae","Carcharhinidae","PISCIVORE","NWHI","Lisianski","Forereef",2000,11.968711186
"114",200009234,"TROB",63,1,887.3215901838,2197.14237095,0.0403852568643579,4.55136641676807e-05,"Carcharhinidae","Triaenodon obesus","PISCIVORE","NWHI","Lisianski","Forereef",2000,11.603836441
"115",200009234,"CAIG",63,2,7391.433895446,2197.14237095,0.336411240034941,9.10273283353614e-05,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Lisianski","Forereef",2000,11.603836441
"116",200009234,"NONE",0,0,0,2197.14237095,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Lisianski","Forereef",2000,11.603836441
"117",200009251,"NONE",0,0,0,2455.54575244,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Pearl & Hermes","Forereef",2000,16.167636394
"118",200009251,"APVI",63,1,2645.30145365224,2455.54575244,0.107727638592101,4.0724144480156e-05,"Lutjanidae","Aprion virescens","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,16.167636394
"119",200009252,"CAIG",63,5,18478.584738615,2352.78655805,0.785391461685761,0.000212513964893782,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,11.581221962
"120",200009252,"TROB",63,2,1774.6431803676,2352.78655805,0.075427291706326,8.50055859575128e-05,"Carcharhinidae","Triaenodon obesus","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,11.581221962
"121",200009252,"NONE",0,0,0,2352.78655805,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Pearl & Hermes","Forereef",2000,11.581221962
"122",200009252,"SNAP",63,1,4220.52644224181,2352.78655805,0.179384161635971,4.25027929787564e-05,"Lutjanidae","Lutjanidae","SECONDARY","NWHI","Pearl & Hermes","Forereef",2000,11.581221962
"123",200009253,"OPPU",63,1,5075.9541,2227.07667271,0.227920042547227,4.49019116518857e-05,"Oplegnathidae","Oplegnathus punctatus","SECONDARY","NWHI","Pearl & Hermes","Forereef",2000,10.943844416
"124",200009253,"CASP",63,1,3304.6052709834,2227.07667271,0.148383093922052,4.49019116518857e-05,"Carangidae","Caranx sp","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,10.943844416
"125",200009253,"NONE",0,0,0,2227.07667271,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Pearl & Hermes","Forereef",2000,10.943844416
"126",200009254,"CAIG",63,3,11087.150843169,1780.03353481,0.622861908292781,0.000168536150658545,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,11.9583889
"127",200009254,"TROB",63,2,1774.6431803676,1780.03353481,0.0996971768038643,0.000112357433772363,"Carcharhinidae","Triaenodon obesus","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,11.9583889
"128",200009254,"NONE",0,0,0,1780.03353481,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Pearl & Hermes","Forereef",2000,11.9583889
"129",200009254,"CASP",63,1,3304.6052709834,1780.03353481,0.18564848393916,5.61787168861816e-05,"Carangidae","Caranx sp","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,11.9583889
"130",200009255,"NONE",0,0,0,2409.48810331,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Pearl & Hermes","Forereef",2000,7.053311014
"131",200009255,"CAIG",63,4,14782.867790892,2409.48810331,0.613527320204829,0.000166010365210148,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,7.053311014
"132",200009255,"TROB",63,4,3549.2863607352,2409.48810331,0.147304581245262,0.000166010365210148,"Carcharhinidae","Triaenodon obesus","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,7.053311014
"133",200009256,"NONE",0,0,0,2364.72286999,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Pearl & Hermes","Forereef",2000,10.962200069
"134",200009261,"NONE",0,0,0,2362.03049937,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Pearl & Hermes","Forereef",2000,11.278333378
"135",200009261,"CAIG",63,30,110871.50843169,2362.03049937,4.6939067239505,0.00127009367609781,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,11.278333378
"136",200009262,"SNAP",63,1,4220.52644224181,2487.03594755,0.169701063082723,4.02085060726649e-05,"Lutjanidae","Lutjanidae","SECONDARY","NWHI","Pearl & Hermes","Forereef",2000,10.37057786
"137",200009262,"NONE",0,0,0,2487.03594755,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Pearl & Hermes","Forereef",2000,10.37057786
"138",200009262,"OPPU",63,3,15227.8623,2487.03594755,0.612289593763254,0.000120625518217995,"Oplegnathidae","Oplegnathus punctatus","SECONDARY","NWHI","Pearl & Hermes","Forereef",2000,10.37057786
"139",200009263,"NONE",0,0,0,2001.91723316,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Pearl & Hermes","Lagoon",2000,10.80578904
"140",200009263,"TROB",63,1,887.3215901838,2001.91723316,0.0443235901807576,4.99521150742837e-05,"Carcharhinidae","Triaenodon obesus","PISCIVORE","NWHI","Pearl & Hermes","Lagoon",2000,10.80578904
"141",200009264,"NONE",0,0,0,2429.83698571,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Pearl & Hermes","Lagoon",2000,10.186144445
"142",200009265,"CAGA",63,1,1558.95487979095,2210.37538025,0.0705289650672197,4.52411843225876e-05,"Carcharhinidae","Carcharhinus galapagensis","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,11.697227859
"143",200009265,"CAIG",63,40,147828.67790892,2210.37538025,6.68794446544189,0.00180964737290351,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,11.697227859
"144",200009265,"CAME",63,15,68248.3441533366,2210.37538025,3.0876359175525,0.000678617764838815,"Carangidae","Caranx melampygus","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,11.697227859
"145",200009265,"NONE",0,0,0,2210.37538025,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Pearl & Hermes","Forereef",2000,11.697227859
"146",200009265,"PSDE",63,15,46759.1046066161,2210.37538025,2.11543727026708,0.000678617764838815,"Carangidae","Pseudocaranx dentex","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,11.697227859
"147",200009265,"ELBI",63,30,33890.8409336483,2210.37538025,1.53326178152668,0.00135723552967763,"Carangidae","Elagatis bipinnulata","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,11.697227859
"148",200009265,"TROB",63,3,2661.9647705514,2210.37538025,0.120430438844751,0.000135723552967763,"Carcharhinidae","Triaenodon obesus","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,11.697227859
"149",200009266,"CAIG",63,2,7391.433895446,2082.93722444,0.354856296614181,9.60182561688916e-05,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,10.09436655
"150",200009266,"TROB",63,1,887.3215901838,2082.93722444,0.0425995358752282,4.80091280844458e-05,"Carcharhinidae","Triaenodon obesus","PISCIVORE","NWHI","Pearl & Hermes","Forereef",2000,10.09436655
"151",200009266,"SNAP",63,2,8441.05288448363,2082.93722444,0.405247589098755,9.60182561688916e-05,"Lutjanidae","Lutjanidae","SECONDARY","NWHI","Pearl & Hermes","Forereef",2000,10.09436655
"152",200009266,"NONE",0,0,0,2082.93722444,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Pearl & Hermes","Forereef",2000,10.09436655
"153",200009271,"NONE",0,0,0,2296.55423042,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Pearl & Hermes","Forereef",2000,14.564622116
