DIVEID,REGION,ISLAND,YEAR,STRATA,CENTROIDLAT,CENTROIDLON,PROJECTEDLENGTH_M,DEPTH_M,Shark,Jack,Snapper,Tuna,Grouper,Parrotfish,Rays,Surgeonfish,Triggerfish,Milkfish,Wrasse,Emperor,Barracuda,OTHER,TotFish
200802095,PRIAs,Baker,2008,Forereef,0,0,"2,190",14.6,1.636502821,0.743626149,2.108903024,0,0.255872741,0,0.136260274,1.126846025,0.149716177,0,0,0,0,0,6.157727212
201002061,PRIAs,Baker,2010,Forereef,0.188011015,-176.4640166,"1,823",16.6,6.658362084,0,3.728858803,0,0.07684734,0.142842468,0.824676621,6.767621798,0,0,0.493330661,0.102900995,0,0.020847769,18.81628854
201002062,PRIAs,Baker,2010,Forereef,0.195360235,-176.461957,"2,294",12.6,0.888737739,0.099769732,0.827228631,0,0.143054955,0,0,0,0,0,0,0,0,0,1.958791058
201002063,PRIAs,Baker,2010,Forereef,0.201917552,-176.4798025,"2,913",13.7,6.170881581,0.393667221,1.40310248,0,0.048095057,0.429619405,21.00788368,2.194859189,0,0,0,0,0,0.02141225,31.66952086
201002064,PRIAs,Baker,2010,Forereef,0.187700633,-176.475745,"2,075",14.6,4.007123184,0.436475912,1.345684167,0,0.135043123,0,0,0.845564634,0,0,0,0,0,0,6.769891019
201002071,PRIAs,Baker,2010,Forereef,0.197454031,-176.4652949,"2,265",8.3,4.754066329,0,2.051649078,0,0,0,0,0,0,0,0.099261906,0,0,0,6.904977313
201002072,PRIAs,Baker,2010,Forereef,0.203617128,-176.4784859,"1,964",13.5,0.37717851,0.642162696,0.700100491,0,0,0.239423491,0,0.537268164,0,0,0,0,0,0.036850557,2.532983908
201002073,PRIAs,Baker,2010,Forereef,0.192034337,-176.4868405,"1,851",13,4.602386913,0.195690957,1.878801375,0,0.22704619,0,11.49491948,4.955925192,0,0,0.121462508,0.237853624,0,0.045052586,23.75913883
201002074,PRIAs,Baker,2010,Forereef,0.187631023,-176.4752187,"1,730",16.1,1.243325978,0.676089859,2.786153024,0,0.080993602,0,1.58206234,0.653392279,0,0,0,0,0,0.015003732,7.037020814
201002075,PRIAs,Baker,2010,Forereef,0.19691988,-176.4616979,"2,157",15.5,0,1.034706619,3.607115883,0,0,0.120745272,0,2.762775298,0,0,0,0.609428518,16.12501207,0,24.25978366
201203151,PRIAs,Baker,2012,Forereef,0.199421177,-176.4844441,"1,963",15.9,13.45278236,1.116044438,2.503305705,14.80964099,0.215631051,1.008971472,3.388976023,0.496219644,0,0,0.114509915,0,0,0.048405208,37.1544868
201203152,PRIAs,Baker,2012,Forereef,0.204575224,-176.4746135,"1,805",14.3,5.308904466,2.371929901,5.621977783,0,0.234538497,1.498078811,100.5808456,0.631599776,0,0,0,0,0,0.134429796,116.3823047
201203153,PRIAs,Baker,2012,Forereef,0.195493658,-176.4626178,"2,813",14.7,3.585186609,0.640895461,7.124189629,0,0,1.344566994,0,0.584505923,0.318609892,0,0.079917531,0,6.796432085,0.064756082,20.53906021
201203154,PRIAs,Baker,2012,Forereef,0.188957421,-176.4825458,"2,076",14.6,10.07375092,0.459100207,2.589146446,0.994483977,0.463391156,0.588133036,0.914900764,2.354201258,0,0,0.216556936,0,0,0,18.6536647
201203155,PRIAs,Baker,2012,Forereef,0.190113304,-176.4666281,"1,781",10.5,0.372761888,0,6.188189322,0,0,0.651071849,287.7404817,0,0,0,0.415657172,0.123618915,0,0,295.4917808
201203161,PRIAs,Baker,2012,Forereef,0.19966798,-176.4843375,"1,885",16,6.999517704,1.606449631,1.681333531,0.906600432,0.124968447,2.001812402,44.87210148,0.999156421,0,0,0,0,0,0.522805376,59.71474543
201203162,PRIAs,Baker,2012,Forereef,0.204980792,-176.4743356,"1,903",16.3,0,0.737318391,3.658510481,0,0.331664616,2.02241718,28.23398927,6.040136469,0,0,0.282839909,0.154266504,0,0.282376845,41.74351966
201203163,PRIAs,Baker,2012,Forereef,0.189238755,-176.4834339,"2,021",14.8,1.156448498,0.208868246,3.60663259,1.354218776,0,1.248251204,0,3.096815962,0,0,0.266325526,0,0,0.047017225,10.98457803
201203164,PRIAs,Baker,2012,Forereef,0.186904722,-176.4663418,"1,568",17.7,0.472356173,0.199613811,6.584832192,1.408392287,0.156613508,0.292700099,21.76801056,1.249529586,0.209085814,0,0.270831059,0,0,0.01753656,32.62950165
201203165,PRIAs,Baker,2012,Forereef,0.198950585,-176.461797,"1,892",16.2,14.64503247,2.654712652,5.592857671,2.788104049,0.378780885,1.105902529,0,2.215469486,0,0,0,0.232720991,47.23396522,0.049430737,76.89697669
201502081,PRIAs,Baker,2015,Forereef,0.19893805,-176.4846104,"2,157",16.1,6.843518748,0,1.726513832,0,0.292618906,1.334749035,0.293987242,0.392893096,0,18.61341497,0.208434269,0,0,0,29.7061301
201502082,PRIAs,Baker,2015,Forereef,0.203351064,-176.4705283,"2,311",14.2,9.544368565,2.36447086,4.374437783,0,0.060624614,0.853266175,0,2.882938811,0.189185741,0,0,0,0.550275113,0,20.81956766
201502083,PRIAs,Baker,2015,Forereef,0.188101545,-176.4786248,"2,393",15.3,1.003971303,0,1.552824256,0,0.715737318,1.040096974,18.50051667,1.832229184,0,0,0,0,0,0.008205531,24.65358124
201502084,PRIAs,Baker,2015,Forereef,0.188582966,-176.4632296,"1,799",16,1.330561058,0.084170067,2.961824596,0,0.13652684,0.144756207,31.58803143,0.925317755,0,0,0,0,0,0.021835392,37.19302334
201502085,PRIAs,Baker,2015,Forereef,0.190852956,-176.4612856,"2,849",15.9,4.447006058,0.080321667,10.06822593,0,0.281679222,0.245861405,0,0.245780538,0.115092414,0,0,0,0,0,15.48396724
200102071,PRIAs,Howland,2001,Forereef,0.818218505,-176.6243772,"2,401",13.3,3.096055353,2.307916788,1.786891239,0,0.4571722,1.518217338,0,4.181282308,0,0,0,0,0,0.064543741,13.41207897
200102073,PRIAs,Howland,2001,Forereef,0.796435949,-176.6121599,"2,325",11.7,2.92495043,3.334819822,3.8219447,0,0.855893349,1.15057019,0,5.868358833,0,0,0,0.600981695,0,0,18.55751902
200201311,PRIAs,Howland,2002,Forereef,0.793417466,-176.6127597,"2,099",9.4,27.81436778,1.098721611,3.305963773,0,0.361460996,1.274392962,4.186796703,1.626406395,0,0,0,0.210844226,1.395815278,0,41.27476973
200201312,PRIAs,Howland,2002,Forereef,0.813640243,-176.6147099,"3,496",9.4,1.874080091,1.601838784,7.359479032,0,0.108898671,0.892845511,13.31047061,1.588756506,0,0,0,0,0,0.015736001,26.7521052
200201313,PRIAs,Howland,2002,Forereef,0.807067657,-176.6219965,"2,623",8.1,15.20147759,0.520287609,0.670605662,0,0.143927254,0.679844509,2.016277275,4.41552318,0,0,0,0,0,0,23.64794308
200202011,PRIAs,Howland,2002,Forereef,0.822893739,-176.6237402,"1,976",13,4.863235633,0,1.509228518,0,0.28891823,0,0,0,0.333381964,0,0,0,31.95108467,0.027843715,38.97369274
200401211,PRIAs,Howland,2004,Forereef,0.792400911,-176.6136458,"1,974",11.4,20.11159566,31.94704364,15.53319133,0,0,2.706346937,0,2.945753264,0,0,0,0.223058999,7.545580593,0,81.01257042
200401212,PRIAs,Howland,2004,Forereef,0.809130315,-176.6115312,"2,574",8.1,3.113032568,1.841718414,16.54478973,0,0.110871161,1.452590539,0,6.205147482,0.966197618,0,0,0.515840672,0,0.164461796,30.91464998
200401213,PRIAs,Howland,2004,Forereef,0.820369073,-176.6233222,"2,570",13.2,11.52711206,0.354035427,6.225869229,0,0.222079241,0.623484697,7.558554155,1.913776933,0,0,0,0,0,0,28.42491174
200401214,PRIAs,Howland,2004,Forereef,0.809919301,-176.6110925,"1,833",15.2,8.697281496,4.364881615,14.69218114,0,1.089842682,0.874205636,0,17.75712581,0.359304721,0,0,2.327169355,0,0.395676097,50.55766855
200401215,PRIAs,Howland,2004,Forereef,0.823783496,-176.62431,"2,168",17.6,6.606551454,0,8.711438611,0,0.429771251,1.231786881,0,1.84119481,0.235768925,0,0,0,0,0.050740088,19.10725202
200401216,PRIAs,Howland,2004,Forereef,0.808350494,-176.6221854,"1,869",12.2,22.27018168,1.118344471,13.40018743,0,0.203731088,0.792735209,0,5.618230613,0.352487747,0,0,0.473753684,0,0.688645787,44.91829771
200401221,PRIAs,Howland,2004,Forereef,0.790488724,-176.6156972,"2,215",17.1,34.31021116,33.10361843,16.89832787,0,0,0.723539599,0,5.451077095,0,0,0,1.398905075,0,0,91.88567923
200401222,PRIAs,Howland,2004,Forereef,0.82384479,-176.6241386,"2,306",17.2,6.211256142,1.257800393,5.510795645,0,0.452534729,1.852934956,0,3.505545215,0.507250498,0,0,0.575758818,0,0,19.8738764
200401223,PRIAs,Howland,2004,Forereef,0.799813468,-176.6202934,"1,628",9.6,13.63007585,1.263647264,6.69180655,0,0,0.656335725,0.442069087,7.27988584,0,0,0,0,0,1.278623257,31.24244357
200601281,PRIAs,Howland,2006,Forereef,0.810156217,-176.6225877,"1,147",20.5,12.79569968,5.061582496,7.180112768,0,0.248874084,0,0,0.350893622,0,0,0,0,0,0,25.63716266
200601282,PRIAs,Howland,2006,Forereef,0.796057114,-176.6190453,"1,844",17.7,8.030111729,8.274505783,4.18764791,41.81216215,0.154758818,1.448278163,0,4.137571212,0,0,8.953571935,0,0,1.558624939,78.55723264
200601283,PRIAs,Howland,2006,Forereef,0.790030807,-176.614702,871,16.3,44.94930192,0,17.29651553,0,0.655691949,1.227231308,0,0.46223801,0,0,0,0,5.461692709,0.017521358,70.07019278
200601284,PRIAs,Howland,2006,Forereef,0.822114517,-176.6253979,"1,210",14.3,22.09789528,0,3.839376425,0,0.471909523,1.324880094,0,0.665356709,0.544535122,0,0,0,0,9.505499738,38.44945289
200601291,PRIAs,Howland,2006,Forereef,0.820822458,-176.6187121,"1,954",12.1,12.51702184,0.927350156,6.504869535,0,0.43821693,1.913782203,0,0.205950901,0,0,0,0,7.452489973,0,29.95968153
200601292,PRIAs,Howland,2006,Forereef,0.798847504,-176.6116339,"2,747",14.3,41.9679832,1.26045707,3.618315889,0.360706744,0.138566142,0.583303421,0.092017944,0,0.426530158,0,0,0,0.216328687,0.348747945,49.0129572
200601293,PRIAs,Howland,2006,Forereef,0.793670995,-176.6177205,"1,542",16.9,11.55572058,1.235125283,6.37169044,0,0.185091832,0.692857345,0,7.782910467,0,0,0,0,5.534076963,0,33.35747291
200802063,PRIAs,Howland,2008,Forereef,0.811516198,-176.6233036,"2,535",12.7,3.09622494,5.088851595,1.394830961,0,0,0.205465195,314.9485402,0.438304761,0,0,0,0,0,0,325.1722177
200802064,PRIAs,Howland,2008,Forereef,0.793896727,-176.614663,"2,537",12.5,3.94764158,0.142781985,2.094207327,0.390622401,0.220879603,0,0,0.439423499,0.129241003,0,0,0,4.224943087,0.010839773,11.60058026
200802065,PRIAs,Howland,2008,Forereef,0.813241401,-176.6138534,"3,323",13.4,5.596124974,1.218169114,2.087731898,0.099935155,0.1830313,0.067750087,0,0.209079147,0.098658832,0,0,0,3.401023507,0,12.96150402
200802066,PRIAs,Howland,2008,Forereef,0.804730808,-176.6214303,"2,357",15.5,0.433350745,0.380521404,1.502464691,0.304359673,0.129336028,0.110458922,0,0.296369564,0,0,0,0,0,0,3.156861026
200802071,PRIAs,Howland,2008,Forereef,0.795277874,-176.6120577,"2,189",14.2,39.05476712,4.923076582,2.872635685,0,0.256016703,0.118969823,0.160623484,1.398894662,0,0,0,0.100576177,12.78728817,0.012564143,61.68541255
200802072,PRIAs,Howland,2008,Forereef,0.818180236,-176.6181519,"3,224",15.5,4.050025372,0.257376674,1.893891057,0.178183886,0.130370349,0.403883475,0,0.32271548,0,0,0,0.058189994,0.207774455,0.006523464,7.508934205
200802073,PRIAs,Howland,2008,Forereef,0.807719427,-176.6221948,"2,352",15.8,0.868847219,6.00803935,1.70266771,0.446345213,0.219433622,0,0.189420611,2.345158975,0,0,0,0,0,0.027495303,11.807408
201002031,PRIAs,Howland,2010,Forereef,0.795599655,-176.6127948,"2,604",14.2,2.475446494,2.726122598,3.114298355,0,0.627245413,0.099996248,0,2.262977615,0,0,0,0.084536062,0,0,11.39062279
201002032,PRIAs,Howland,2010,Forereef,0.811157867,-176.6113425,"1,668",15.1,3.265154409,0.699605854,3.860112343,0,0.280594935,0.419896066,0,2.617291865,0,0,0,0,0,0,11.14265547
201002033,PRIAs,Howland,2010,Forereef,0.79981933,-176.6202665,"1,664",13,3.433683151,0.297001097,0.942752144,0,0,0.156510774,0,1.92416901,0,0,0.415878687,0,0,0,7.169994864
201002034,PRIAs,Howland,2010,Forereef,0.814510562,-176.6241634,"1,807",13.7,0.976253021,7.831610257,1.941281727,0,0,0.14412047,0.594211469,1.941920702,0,0,0.842261562,0,0,0,14.27165921
201002035,PRIAs,Howland,2010,Forereef,0.821007529,-176.6181585,"1,600",13.8,0.777466074,0,5.115401818,0,0.175119805,0.162754789,0,0.176590999,0,0,0,0,3.273378007,0,9.680711492
201002041,PRIAs,Howland,2010,Forereef,0.819268313,-176.6243998,"2,157",15.2,1.364046671,0,1.797973763,0,0.129867101,0.765812428,0,1.389544702,0,0,0.487522234,0,0,0.025493161,5.960260061
201002042,PRIAs,Howland,2010,Forereef,0.806253411,-176.6217732,"1,640",16.1,8.886326869,0.110448556,1.598599261,0,0,0,0.170010176,1.115247283,0,0,0,0,0,0,11.88063215
201002051,PRIAs,Howland,2010,Forereef,0.808027244,-176.6221815,"1,736",23.8,7.760566565,0.313073536,2.086863058,0,0.216415184,0.75019785,0.618616032,0.805134817,0,0,0,0,0,0,12.55086704
201002052,PRIAs,Howland,2010,Forereef,0.792860178,-176.6142411,"1,926",16.3,3.489430846,2.715929819,3.632780195,0,0.097530327,0.270361423,0,15.5801712,0,0,0,0,0,0.032377856,25.81858166
201002053,PRIAs,Howland,2010,Forereef,0.80351394,-176.609927,"1,441",15.1,0,0,2.240579805,0,0,0,0.603782484,0.588239186,0,0,0,0,0,0,3.432601474
201002054,PRIAs,Howland,2010,Forereef,0.821628991,-176.6212427,"1,854",14.5,0.645577463,0.195402462,1.770417122,0,0.151140979,1.312669461,0,1.170838765,0,3.521455637,0,0,0,0,8.767501888
201203111,PRIAs,Howland,2012,Forereef,0.797823287,-176.6198462,756,15.4,16.34673551,2.503613475,1.074339964,17.1706574,0,0.606779269,0,4.293155562,0,0,0,0,0,0,41.99528118
201203112,PRIAs,Howland,2012,Forereef,0.793830845,-176.6123059,"1,565",12.8,26.92785176,1.15288537,3.877419632,0,0.403327811,1.572606481,28.29079185,2.358523247,0,0,0,0,0,0,64.58340615
201203113,PRIAs,Howland,2012,Forereef,0.808100586,-176.6104855,"1,550",14.3,9.696343964,0.720408659,4.223983375,0,0.649522538,0.631960356,0.481111225,0,0,16.58362114,0,0.141987588,0,0.035474649,33.1644135
201203114,PRIAs,Howland,2012,Forereef,0.820251,-176.6173687,"2,052",15.5,4.240894624,1.211686868,3.332410449,0,0.695481085,2.561893666,0,0.94880672,0.159750928,0.720600171,0.109543843,0.107256966,0.57019593,0.073103404,14.73162465
201203115,PRIAs,Howland,2012,Forereef,0.809120108,-176.6224143,"1,711",12.8,0.693479732,0.912888962,2.228064136,0,0.081855946,0.204629666,53.58346164,0.165087247,0,0,0,0,0,0,57.86946733
201203116,PRIAs,Howland,2012,Forereef,0.81661807,-176.6247202,177,14,16.45340839,0,0,0,0,0,0,0,0,0,0,0,0,0,16.45340839
201203121,PRIAs,Howland,2012,Forereef,0.81336711,-176.6235409,"1,114",13.6,0,0.866959351,1.875647481,1.36562772,0,4.155091238,0,0.314345621,0,0,0,0,0,0,8.577671412
201203122,PRIAs,Howland,2012,Forereef,0.796220472,-176.6190372,"1,908",15.1,2.460940066,0.557339656,2.60573808,3.611808642,0.128704,0,1.141531868,3.758189031,0,0,0,0,0.096407284,0,14.36065863
201203123,PRIAs,Howland,2012,Forereef,0.797993456,-176.6111659,"2,420",14,3.43267603,0.200353197,6.069325036,0,0.318701279,1.379348062,0,0.275851065,0,0,0,0,0,0,11.67625467
201203124,PRIAs,Howland,2012,Forereef,0.819344745,-176.616406,"2,029",15.8,1.507873594,0.677817582,2.363064992,0,0.853854545,3.127667153,0,1.875901014,0,0,0,0,0.286012746,0.263060334,10.95525196
201203131,PRIAs,Howland,2012,Forereef,0.810261144,-176.6225741,"1,776",6.1,0.56302846,0.305855819,2.526679777,0,0.132567515,1.378299177,112.6889217,3.731110172,0,0,0.126560148,0,0,0,121.4530228
201502041,PRIAs,Howland,2015,Forereef,0.803577295,-176.6210703,"2,581",13.5,2.830292536,0.823754267,2.371123893,0,0.095155759,0.403565678,22.47801088,0.328405389,0,0,0,0,0,0,29.3303084
201502042,PRIAs,Howland,2015,Forereef,0.792169933,-176.6143089,"1,654",14,11.4801793,3.175624972,3.369714849,0,0.255986016,0.211746928,0,0.621192671,0,0,0,0,0,0.01662736,19.1310721
201502043,PRIAs,Howland,2015,Forereef,0.806742405,-176.6107077,"2,233",13.6,5.439947556,0.633015728,5.738919309,0,0.438673599,0.156857129,0.345787124,1.083436189,0.45041939,0,0,0.320810977,0,0,14.607867
201502044,PRIAs,Howland,2015,Forereef,0.819950225,-176.6250772,"1,797",16.7,2.554090927,0.225718939,1.380810647,0,0.554789618,0.434731349,0,0.926303713,0,0,0,0,0,0.199597306,6.276042499
201502045,PRIAs,Howland,2015,Forereef,0.817963008,-176.6167348,"2,882",13.8,1.544526179,0,5.119999615,0,0.279442594,0.3925411,6.05871649,0.098025751,0.151675801,0,0,0,0,0,13.64492753
200102171,PRIAs,Jarvis,2001,Forereef,-0.363257102,-159.9973314,"2,763",11.5,3.345757365,1.770230039,1.872625229,0,0.136637491,0.940445197,9.495373182,0,0,0,0,0.079660525,0,0.341176305,17.98190533
200102173,PRIAs,Jarvis,2001,Forereef,-0.379451794,-160.0109951,"2,234",10.3,2.129059741,9.422238974,5.733659053,0.879212616,0.747915529,1.138761704,1.434065339,0.332722493,0,0,0.22261247,0,3.070093236,0.264990742,25.3753319
200203101,PRIAs,Jarvis,2002,Forereef,-0.378515304,-159.9757454,"2,878",10.6,9.879962368,10.77313718,6.539876749,0,0,1.289349992,18.54771225,10.10706237,1.243415834,8.162401065,0,0,0.310814228,0.238869699,67.09260173
200203102,PRIAs,Jarvis,2002,Forereef,-0.381902455,-160.0002938,"3,100",9.9,6.599034423,1.598398021,4.052326894,0,0,2.301596735,0,0.814452258,0,0,0,0,0,1.623063794,16.98887213
200203103,PRIAs,Jarvis,2002,Forereef,-0.369584888,-160.0090793,"2,272",7.7,2.783292853,0.719594625,4.410265966,0,0.25126397,0.727082359,0.260978896,0,0,0,0,0,0,0.263364024,9.415842692
200203104,PRIAs,Jarvis,2002,Forereef,-0.36325294,-159.9929957,"2,465",8.5,4.170599987,0.331581369,3.807231059,0,0.115779702,3.979433396,18.87616178,0,0.348248974,0,0,0,0,0,31.62903627
200403261,PRIAs,Jarvis,2004,Forereef,-0.382024518,-159.9974667,"2,421",12.1,15.4214776,1.344815741,4.501968429,0,0,1.544592337,3.63065643,2.671975186,0,0,0,0,0,0.223945824,29.33943154
200403262,PRIAs,Jarvis,2004,Forereef,-0.376886064,-160.0135347,"2,254",12.1,41.92710738,2.033372458,1.713095514,0,0.379855196,1.308335327,0,1.44415306,0.292209256,0,0,0,0,0.240519628,49.33864782
200403263,PRIAs,Jarvis,2004,Forereef,-0.366088022,-160.0063941,"1,472",13.3,26.58654329,4.092487138,4.052666411,0,0.969774617,0.726034701,2.309500143,0,0,0,0,0,0,0.3684296,39.1054359
200403264,PRIAs,Jarvis,2004,Forereef,-0.362361439,-159.9944709,"2,050",11.8,15.6633959,0.575591842,1.669361418,0,0.742722355,1.262193573,94.41665084,0.271904518,0,0,0,0,0,0,114.6018204
200403265,PRIAs,Jarvis,2004,Forereef,-0.368094471,-159.9795732,"1,704",8.5,7.014175435,0.212640304,13.02176707,0,0,3.761383004,0,0,0,0,0,0,0,0,24.00996582
200403266,PRIAs,Jarvis,2004,Forereef,-0.375766735,-159.9725127,"1,712",9.7,13.78791996,3.232981118,5.737276587,0,0.166662685,0.311935605,0,17.26471749,1.280209039,0,0,0,0,0.071899852,41.85360234
200403271,PRIAs,Jarvis,2004,Forereef,-0.37662951,-160.013743,"1,581",17.3,38.56880975,2.485318969,3.832635324,0,1.082921876,3.416894079,9.058566077,7.186710833,0,0,0,0,18.79244553,0.139151565,84.563454
200403272,PRIAs,Jarvis,2004,Forereef,-0.38207082,-160.0048328,"1,482",16.4,9.600959565,0.244454538,1.12132104,0,0.770109086,0.360345274,0,2.004637878,0.344857618,0,0,0,0,0.037108593,14.48379359
200403273,PRIAs,Jarvis,2004,Forereef,-0.382344351,-159.9828106,"1,421",15.4,213.3852964,0.707076138,7.738635195,0,0,1.12784246,420.3825271,1.342299513,5.099063817,0,0,0,0,0,649.7827406
200403274,PRIAs,Jarvis,2004,Forereef,-0.380253702,-159.9776136,"1,878",9.4,2.705797301,1.128735351,0.702621203,0,0,0.568895911,0,0,0.54444474,0,0.268115078,0,0,0.047121579,5.965731163
200403275,PRIAs,Jarvis,2004,Forereef,-0.370857173,-159.9832161,785,3.8,4.609362215,0,4.916203455,0,0,0.680098257,346.2788308,0,0,1.300472482,0,0,0,0,357.7849672
200603201,PRIAs,Jarvis,2006,Forereef,-0.361866597,-159.9960988,"1,282",15.4,122.7371732,18.54707034,4.384392226,0,0,1.250044983,0,3.224796423,2.737650075,0,0,0.345265785,0,0,153.2263931
