"","ISLAND","YEAR","TotFish.Mean","TotFish.SE","Rays.Mean","Rays.SE","Wrasse.Mean","Wrasse.SE","Tuna.Mean","Tuna.SE","Triggerfish.Mean","Triggerfish.SE","Surgeonfish.Mean","Surgeonfish.SE","Snapper.Mean","Snapper.SE","Shark.Mean","Shark.SE","Parrotfish.Mean","Parrotfish.SE","OTHER.Mean","OTHER.SE","Milkfish.Mean","Milkfish.SE","Jack.Mean","Jack.SE","Grouper.Mean","Grouper.SE","Emperor.Mean","Emperor.SE","Barracuda.Mean","Barracuda.SE"
"11","Baker",2004,40.6957586173333,8.41763992138853,3.09930012833333,3.09930012833333,0,0,0.229683076833333,0.229683076833333,0.109251088833333,0.0718138432036713,7.594594089,3.49694065006179,7.990380049,3.39193712609218,14.3473358791667,5.41553274146235,0.211082499833333,0.0678320876727439,0.0541375111666667,0.0389414891314297,0.170509478,0.170509478,2.47178338983333,0.607560843476368,0.344265574833333,0.139643435673653,0.087864468,0.0402356495574448,3.98557138483333,3.83429478987996
"12","Howland",2004,47.96860801,10.9553945196567,1.07979345071429,1.07979345071429,0,0,0,0,0.207830270142857,0.0792650165615859,5.57610053428571,2.1098569326009,11.5674273221429,1.76365814704963,15.6763128074286,3.92835729051393,1.25786198785714,0.288855313741646,0.162151710285714,0.103431011074575,0,0,10.3065319965714,5.7629796085954,0.342565570142857,0.141977147491775,0.714092275857143,0.323994938720141,1.07794008471429,1.07794008471429
"13","Jarvis",2004,140.173617692857,85.9118849667677,75.68541437,58.8862043195156,0,0,0,0,0.819447241571429,0.715546883156515,2.13166871257143,0.912349591293406,3.51852619014286,0.867207227751653,51.5933699835714,27.3547140561066,1.39231967871429,0.36919892954389,0.14416503,0.053228418002609,0,0,1.64044526057143,0.509948418649631,0.563626161428571,0.167506639474282,0,0,2.68463507571429,2.68463507571429
"14","Johnston",2004,9.4961417082,3.34784666405604,1.57058723373333,1.0953079427276,0,0,0,0,0,0,0.888481776933333,0.496317409351753,0.2037170956,0.0614121833863983,6.10031904246667,2.92949263013271,0.0941526450666667,0.045297926391802,0.079178976,0.0295897530535819,0,0,0.4991077612,0.280893326332318,0,0,0,0,0.0605971775333333,0.0345598231262704
"15","Kingman",2004,19.1185357098182,6.50895341747744,3.79960564545455,2.68998792048621,0,0,0,0,0,0,0.134882753363636,0.0904868546725385,2.502105118,0.942379364177823,8.23380921972727,4.60921975340177,1.84284885872727,1.07652667108217,0.00456706854545455,0.00306368271766124,1.82117942427273,1.67369064472639,0.543534716181818,0.466256121356815,0.0874724894545455,0.0411320989163775,0,0,0.148530416727273,0.148530416727273
"16","Palmyra",2004,15.150839302125,1.90195847542201,1.4866423650625,0.964392184425555,1.7839184240625,0.590892601676331,0,0,0.1461706774375,0.081959920547076,0.2284807925625,0.0952557670134185,2.6992158718125,0.336255396911908,4.19666393875,1.17526282385706,1.691241606125,0.730668098529496,0.0541938215625,0.025994297233826,0.859191388,0.65244155513794,1.513248894,0.576908660529375,0.238923804625,0.0614344154641281,0.0103455855,0.0103455855,0.2426021325,0.135494595933563
"17","Wake",2005,51.92989685,20.6197978165926,1.913473909,0.594331458244874,8.88922283709091,1.85605360980862,0.0945962102727273,0.0945962102727273,0.0292507072727273,0.0292507072727273,0.407187401636364,0.19175528243554,0.0413324276363636,0.0413324276363636,24.481810332,18.7364137055464,2.75334578618182,1.11293017459165,0.387231545818182,0.165106202337283,0.386391133909091,0.343175893547382,12.4194753749091,11.1349438464936,0.0753958301818182,0.0390703257048287,0.0156408554545455,0.0156408554545455,0.0355424972727273,0.0355424972727273
"18","Baker",2006,11.2429733025,4.68531057962203,0,0,0,0,0.170824942666667,0.170824942666667,0.191651123666667,0.124647468118579,0.699930955166667,0.557643443766071,2.52874351283333,0.766591711817512,5.04585309566667,3.00911513159964,0.919517950333333,0.567978608536908,0.00273424,0.00273424,0,0,1.301080923,0.446149266788385,0.336912524833333,0.171078499909715,0,0,0.0457240353333333,0.0295877533641953
"19","Howland",2006,46.4348789442857,7.77033869595392,0.0131454205714286,0.0131454205714286,1.279081705,1.279081705,6.02469555628571,5.96479416718983,0.138723611428571,0.0904666200214678,1.94356013157143,1.11347925988505,6.99978978528571,1.79963787711596,21.9876763184286,5.78233373165072,1.027190362,0.241815051705989,1.63291342571429,1.32952663707957,0,0,2.39414582685714,1.17450889875568,0.327587039714286,0.074453547505143,0,0,2.66636976171429,1.25618286160462
"20","Jarvis",2006,123.306002217,30.9446098996764,8.4045244626,4.74477421728787,0.2669217851,0.237832901624173,0,0,0.5144121055,0.272092505300743,5.4477203703,1.89512033915114,3.8540089528,0.754305419636971,68.2989603276,16.2400557276627,1.9409988698,0.362616527980552,0.1380214781,0.0948990346598911,0,0,23.8505375692,18.5771891576304,0.3688590158,0.104174239448669,0.0345265785,0.0345265785,10.1865106819,7.27402484532104
"21","Johnston",2006,13.2380719881667,7.36413588683157,0.128205859833333,0.0876685786243023,0,0,0,0,0,0,0.027596279,0.027596279,0.374208182416667,0.279789011443504,4.91612623525,2.60081802371507,0.33605848875,0.213064755129006,0.0220348121666667,0.00837135781628922,0,0,7.43384213091667,6.88138553579798,0,0,0,0,0,0
"22","Kingman",2006,38.0531705458182,13.5219069537254,21.3740485968182,12.4815884268568,0,0,0,0,0.0725572428181818,0.0396243469242768,0.490663259090909,0.152073499381599,5.37943258354545,1.62938294579067,8.02112898472727,1.83477474497248,1.81253829281818,0.547323781459518,0.00562818918181818,0.0050268762386063,0.152831992272727,0.125163547462625,0.330414592,0.104080478188181,0.0860564573636364,0.0593794001814918,0.0121374424545455,0.0121374424545455,0.315732908090909,0.216775730623423
"23","Palmyra",2006,15.9509968506429,2.66522541183167,2.98195415771429,2.06483180889082,0.347257122,0.179235555098418,0,0,0.961023939214286,0.393825928230328,0.0191601666428571,0.0191601666428571,5.01861349442857,1.34249262831027,4.96716441521429,1.13922742441176,0.6588910985,0.29885929570283,0,0,0.0461633999285714,0.0461633999285714,0.6440230445,0.312905483154631,0.147591791928571,0.0687086254334642,0.142301682571429,0.0674872396084079,0.0168525379285714,0.0168525379285714
"24","Wake",2007,12.26109202975,1.7900672683002,0.725490935625,0.223917299770682,4.2484955463125,0.791445349289318,0,0,0.019994734,0.019994734,0.065294301625,0.0450921548338038,0,0,0.9471863806875,0.509822576027751,4.589094654375,1.07798476999962,0.35165796,0.128782320065801,0.045992651,0.045992651,1.233879000125,0.704586065978295,0.009977260375,0.009977260375,0,0,0.0240286064375,0.0240286064375
"25","Baker",2008,27.74116847575,9.65002754170062,18.725765367125,9.74452433905074,0.0174782675,0.0174782675,0.342174494,0.266802657155862,0.062525921,0.0346129504406871,0.734915825375,0.113956429598447,2.111555217875,0.349429714394808,4.4178003245,2.86892165911524,0.172255463625,0.0603089765355514,0.0069049795,0.00342204870073892,0.057487679125,0.057487679125,0.89929620725,0.187914865287862,0.147264633875,0.033561581511656,0,0,0.045744095375,0.0402005525203385
"26","Howland",2008,61.9847025372857,44.4960342379198,45.0426548992857,44.984325135474,0,0,0.202778046857143,0.0687210888655209,0.0325571192857143,0.0212787843563672,0.778563726857143,0.3021527885401,1.93548990414286,0.186596753007096,8.14956885,5.19660837018918,0.129503928857143,0.0532031150920636,0.00820324042857143,0.00378862194740302,0,0,2.574116672,0.994777504539706,0.162723943571429,0.032497100909998,0.0226808815714286,0.0153535214354226,2.945861317,1.77434308204305
"27","Jarvis",2008,35.551750017,6.05087742189852,3.3491113498,2.56286901896241,0.0678440544,0.0678440544,0.0771639433,0.0558687316643648,0.019987821,0.019987821,2.8207507555,1.14095617500207,1.2655387009,0.278522881370241,18.8100677808,5.07576151106491,0.3997851451,0.129095668970317,0.006353027,0.0044075277153375,2.6831949324,1.88729733982538,1.3649407795,0.544295816277781,0.1345751339,0.0320654668645623,0,0,4.5524365909,3.11406105218456
"28","Johnston",2008,5.025307954,3.12699473817472,0.204374484375,0.0972725522283479,0,0,0,0,0,0,0.013240059125,0.013240059125,0.082740937125,0.0469301806697219,4.39431436275,3.10018338018764,0.011107700625,0.011107700625,0.03058192775,0.00750741835801071,0,0,0.288948482625,0.110325455547744,0,0,0,0,0,0
"29","Kingman",2008,21.9304558324167,9.26093606693345,8.80920995833333,8.80920995833333,0,0,0,0,0,0,0.191053579666667,0.0897420084276396,1.88061633891667,0.162557825330695,7.75239877383333,2.26256027342419,0.685420705416667,0.221610764363687,0.00243934966666667,0.00137111087359504,0.559444943666667,0.377917913522823,1.32234655675,0.65442485021336,0.486277868,0.439239405864539,0.0380211445833333,0.0316149523118398,0.203226619166667,0.130294506651953
"30","Palmyra",2008,17.916981247619,6.24769369991161,2.89172713866667,1.64368209535848,1.39923428457143,0.526124331049009,0,0,0.0638271789047619,0.0307363324768889,0.100719921809524,0.0397482696122433,1.22468966714286,0.158112257190574,6.01167870976191,2.01506813557508,0.148212981190476,0.0558462206457251,0.00222919176190476,0.00166283958873544,5.66815236409524,3.55169921035869,0.119692001904762,0.0378960040594291,0.0321275250476191,0.00988716627447335,0.208275138285714,0.137498707073483,0.046415144952381,0.046415144952381
"31","Wake",2009,18.74257885275,8.68746207166462,0.293977495083333,0.121255896077441,1.07834446991667,0.344407750625305,0,0,0,0,0,0,0.00510235591666667,0.00510235591666667,0.815156191333333,0.678654260543407,15.1877422705,8.55081636647042,0.275672621833333,0.135146429000054,0.0334774030833333,0.0334774030833333,0.877758668416667,0.806651567885111,0.08880661875,0.0390384976014767,0,0,0.0865407558333333,0.0791622546466433
"32","Baker",2010,14.600427336125,4.03172502992757,4.363692765125,2.75263784835088,0.076849146125,0.0613657000302307,0,0,0,0,2.33967581925,0.849896297280615,2.03463060675,0.423515325888524,2.993499498625,0.949080669230861,0.1165788295,0.0547974915792466,0.01739586175,0.00610181018891178,0,0,0.4348203745,0.121101507087583,0.088885033375,0.0273291955628845,0.118772892125,0.0762643523428898,2.01562650875,2.01562650875
"33","Howland",2010,11.0969170999091,1.7518884381601,0.180601832818182,0.083690043432851,0.158696589363636,0.0875425541995392,0,0,0,0,2.688375104,1.30821342398729,2.554641781,0.370880598249573,3.00672286936364,0.875625934020338,0.371119955363636,0.123895083085437,0.00526100154545455,0.00355958029580944,0.320132330636364,0.320132330636364,1.35356310718182,0.718044874068964,0.152537613090909,0.0558365366130902,0.00768509654545455,0.00768509654545455,0.297579818818182,0.297579818818182
"34","Jarvis",2010,127.925266464444,42.6085897842892,41.189911777,28.4268857387184,0.469622461333333,0.310205087689934,0,0,0.203063902888889,0.130494060247054,0.321015112888889,0.127893357909304,5.064024992,1.16677420591334,42.0726309552222,13.6803683514875,1.85070508544444,0.381355683397706,0.00389862211111111,0.00389862211111111,6.24299947777778,3.02807193536441,29.695233861,17.3349911468667,0.103478723333333,0.0386921334537176,0.0593875981111111,0.0353229719260583,0.649293887333333,0.507982678662816
"35","Johnston",2010,3.81845004218182,1.61065728445769,0.213598668545455,0.119658873621893,0,0,0,0,0,0,0.104883507454545,0.040304446627585,0.320204813909091,0.0515627301689625,2.20778857527273,1.366417001716,0.00890225381818182,0.00890225381818182,0.174732647909091,0.0655736148157474,0,0,0.788339575909091,0.675384507019452,0,0,0,0,0,0
"36","Kingman",2010,24.5401653776154,4.95655950917391,0.701722951692308,0.701722951692308,0,0,0,0,0,0,0.198110441846154,0.108695555252215,2.65118027346154,0.31523920035389,18.0785768239231,4.71082818896588,1.35716920815385,0.571938966151423,0.003723139,0.00223161356389278,0,0,0.857129479692308,0.386052249624967,0.0403490300769231,0.0202944552757372,0.0175024713076923,0.0175024713076923,0.634701557,0.523498242530664
"37","Palmyra",2010,23.11476571044,5.64865990042475,1.50819113616,0.697734072527044,0.71337712112,0.24096726077913,0,0,0.2007318554,0.0522677296269194,0.11328734012,0.0859097143170003,3.34963214352,0.621584684237317,4.6594975758,0.64451850938687,0.51039440128,0.250760932996606,0.02158135288,0.02158135288,10.9593301502,5.42838851423006,0.72824560408,0.287374376943552,0.04078875804,0.0150187590954304,0.0446704392,0.0266706011620046,0.26503783376,0.113247554945387
"38","Wake",2011,8.6468870975,2.17031639358431,0.547600370071429,0.232153983832111,2.05525421157143,0.7231437238483,0,0,0,0,0.035412212,0.0161514203581801,0.0309861777142857,0.0252429026753857,2.06576655478571,0.698467014025272,2.94568695264286,1.37846484816148,0.230039946428571,0.0675208750295703,0,0,0.560710921428571,0.205955624437493,0.0370723600714286,0.0171090181654053,0.00629374071428571,0.00629374071428571,0.132063650214286,0.105401984640011
"39","Baker",2012,71.019061867,26.8701181788812,48.7499305397,28.3710271151684,0.1646638048,0.0462244043154251,2.2261440511,1.42661299404266,0.0527695706,0.0361144577209753,1.7667634525,0.56623505551417,4.515097535,0.611219294702226,5.6066741088,1.74584447536658,1.1761905576,0.181656747802702,0.1166757829,0.0523342986245571,0,0,0.9994932738,0.293608740034096,0.190558816,0.0523589190765315,0.051060641,0.0273184836615294,5.4030397305,4.69670165139155
"40","Howland",2012,27.4367437872,6.56549677478787,8.3496896583,5.75028275048052,0.0109543843,0.0109543843,2.2148093762,1.70191973487196,0.0159750928,0.0159750928,1.3989859507,0.507363381295987,2.7649993145,0.54135990266897,8.176020367,2.84246544121314,1.4239975891,0.453600574754703,0.0371638387,0.0262449547856463,1.7304221311,1.65190848281446,0.880395312,0.216759726171273,0.3131447204,0.102282497455158,0.0249244554,0.0168167400499611,0.095261596,0.0601362653707404
"41","Jarvis",2012,28.442128295,6.28533891272931,0,0,0.370092051,0.318319251355544,0,0,0.231727239571429,0.121099870735426,0.320292514571429,0.142132400935798,1.35744470171429,0.319982963901725,19.913318254,5.90422671580853,0.596145480714286,0.131130554235479,0.0353483055714286,0.0213660915149161,0,0,0.984236445285714,0.361203331587626,0.0781901522857143,0.0407495331855984,0.0244285015714286,0.0165229257132955,4.53090465,2.61229141614143
"42","Johnston",2012,2.44921374266667,0.299292087367902,0.457834870222222,0.173246510183974,0.0105516787777778,0.0105516787777778,0,0,0,0,0.325100619,0.129261352642379,0.0984468028888889,0.0609361409986565,0.187231139,0.129020261660703,0.445457668666667,0.130379209448654,0.221207043777778,0.0805951717614638,0,0,0.703383920222222,0.250873933112364,0,0,0,0,0,0
"43","Kingman",2012,16.6568635779231,3.49510879990129,0.644134764153846,0.559750579520569,0.00990062592307692,0.00990062592307693,0,0,0,0,0.105636086769231,0.0597928189866406,2.39954619676923,0.439760992689657,9.05695158069231,2.84550170569956,0.729565885846154,0.260633994599492,0.0144866362307692,0.00839339367152747,2.02953699130769,1.38729194188959,0.572748195,0.294657165458811,0.0224280129230769,0.0125133288972507,0,0,1.07192860130769,0.817161849908507
"44","Palmyra",2012,20.8810679822,5.57551958416231,7.07166556025,2.63009962779566,1.42947684705,0.540681763993132,0,0,0.4972725341,0.220684721172853,0.1600491054,0.107943050972775,1.6944114623,0.174025322591854,2.64780831035,1.2364784522046,0.39278605665,0.216837918648313,0.02027689855,0.00974955394738061,2.6482198007,1.53854893259956,4.06960058975,3.6893967657963,0.14368525505,0.0291740988295139,0.0521257225,0.0311683265698209,0.05368983965,0.0297476342164519
"45","Wake",2014,5.6695674068,2.45554136725238,3.0402745958,2.49354476787953,0.2360868627,0.118771884507046,0,0,0,0,0.064781276,0.0385150014372493,0.0121446053,0.0121446053,0.788350017,0.434807630282075,0.542868506,0.216995206868812,0.259890669,0.113994565904916,0,0,0.6300318391,0.425080294946175,0.0951390363,0.0535842013554358,0,0,0,0
"46","Baker",2015,25.571253916,3.72382010508815,10.0765070684,6.4516637454245,0.0416868538,0.0416868538,0,0,0.060855631,0.0390643502672358,1.2558318768,0.492636654249286,4.1367652794,1.56692792639284,4.6338851464,1.62970053069356,0.7237459592,0.22954095384032,0.0060081846,0.00426393991425324,3.722682994,3.722682994,0.5057925188,0.465033776073703,0.29743738,0.113406098466905,0,0,0.1100550226,0.1100550226
"47","Howland",2015,16.5980435058,3.7931003445088,5.7765028988,4.33156241247599,0,0,0,0,0.1204190382,0.0875726703064085,0.6114727426,0.18244416290006,3.5961136626,0.817718418635547,4.7698072996,1.79654856900571,0.3198884368,0.0564548394276307,0.0432449332,0.0392204872647351,0,0,0.9716227812,0.569849491610515,0.3248095172,0.0791806657529414,0.0641621954,0.0641621954,0,0
"48","Jarvis",2015,49.09744859,6.96640705647419,16.7913369188333,8.62237215581226,0.153401902666667,0.119945654990279,0,0,0.0396141428333333,0.0396141428333333,0.0719118708333333,0.0541230933001083,1.42819453033333,0.486009927612945,14.3350855003333,7.61129334015175,0.869982889,0.294149838315605,0.138682853,0.137425085837003,1.52311750716667,1.1695920528675,0.274674757166667,0.141428615495068,0.1074402175,0.0650835459866941,0,0,13.3640055016667,8.97798072240654
"49","Johnston",2015,1.03187417221429,0.255375360049638,0.347363570142857,0.203500350603838,0.0280268137142857,0.0123901430546021,0,0,0,0,0.0648449946428571,0.0384187841496788,0.139789487,0.0434679576105872,0,0,0.0640476774285714,0.032499379413585,0.202023842714286,0.0690351833492021,0,0,0.185777786714286,0.0727147346669828,0,0,0,0,0,0
"50","Kingman",2015,11.6965892718333,2.02406707173334,0.462964107083333,0.462964107083333,0,0,0.0197803505,0.0197803505,0,0,0.0920327665,0.0394868135624971,3.7077220685,0.64265732465976,5.7202453895,1.17876263108187,0.673558031,0.194360797519515,0.0109798820833333,0.00488062333923442,0.185298607,0.102157630343832,0.467836163,0.352620699748113,0.0307693188333333,0.0137030113916028,0.018863578,0.0129530994009233,0.306539009,0.306539009
"51","Palmyra",2015,15.3658136347,3.81776278546854,3.07610957385,1.26107910317617,0.1069344081,0.0538441409463548,0.01225712525,0.01225712525,0.093759721,0.0286093279245108,0.00639334085,0.00639334085,2.2133358586,0.447711416726166,2.52585273395,0.84342675622363,0.2206012918,0.0573640932567962,0.00358972235,0.00193363157102419,6.391866227,3.50677429876909,0.35616106335,0.148517930449365,0.1131857866,0.0247793789591433,0.02671850915,0.0130092513377581,0.21904827205,0.0993708908748251
