,Mean.REGION,Mean.ISLAND,Mean.ANALYSIS_YEAR,Mean.METHOD,Mean.N,Mean.TotFish,Mean.PISCIVORE,Mean.PLANKTIVORE,Mean.PRIMARY,Mean.SECONDARY,Mean.DEPTH,Mean.HARD_CORAL,Mean.TotalArea,Mean.TotalAreaWithSamples,PooledSE.REGION,PooledSE.ISLAND,PooledSE.ANALYSIS_YEAR,PooledSE.METHOD,PooledSE.N,PooledSE.TotFish,PooledSE.PISCIVORE,PooledSE.PLANKTIVORE,PooledSE.PRIMARY,PooledSE.SECONDARY,PooledSE.DEPTH,PooledSE.HARD_CORAL
11,PRIAs,Jarvis,2012,nSPC,42,243.5275903,131.0496192,40.99266414,51.42463702,20.06066996,8.732912086,18.68204787,365.9056523,365.9056523,PRIAs,Jarvis,2012,nSPC,42,27.65288216,21.78187548,6.575514358,5.774631514,3.674987755,0.325845369,1.645046044
12,PRIAs,Jarvis,2015,nSPC,62,141.8280372,63.13909024,35.09265923,29.37621912,14.22006858,8.480509747,15.24437639,365.9056523,365.9056523,PRIAs,Jarvis,2015,nSPC,62,13.45805713,9.482496297,5.728752602,3.116449442,1.190393557,0.211291214,1.110415699
13,PRIAs,Jarvis,2016,nSPC,30,117.1263027,58.57722613,16.26383078,30.968782,11.31646379,9.218722288,0.663750506,365.9056523,365.9056523,PRIAs,Jarvis,2016,nSPC,30,13.61063726,12.66898377,2.789180181,2.861750733,2.982246814,0.376911571,0.218223883
14,PRIAs,Johnston,2008,nSPC,3,48.15573711,14.51422501,12.20647545,14.90649733,6.528539306,11.08333333,NA,9410.194718,323.0447292,PRIAs,Johnston,2008,nSPC,3,10.50389079,8.828041505,3.943774348,0.682471694,1.482665231,0.506308115,NA
15,PRIAs,Johnston,2010,nSPC,8,82.84321447,39.91984775,9.967311099,27.73446274,5.22159289,16.92862393,21.17634919,9410.194718,478.6258021,PRIAs,Johnston,2010,nSPC,8,19.49850276,17.70545151,3.947749124,6.70286973,1.55040439,0.707343001,6.087065216
16,PRIAs,Johnston,2012,nSPC,9,64.55176123,16.77793964,18.4003494,22.57273989,6.800732306,13.51459077,7.416368134,9410.194718,713.3760333,PRIAs,Johnston,2012,nSPC,9,10.71801014,5.703152704,3.629205006,5.923407997,1.288915762,0.292507672,1.546298736
17,PRIAs,Johnston,2015,nSPC,23,79.94903272,12.71017474,26.14873809,33.80201929,7.288100597,15.44154661,6.60368837,9410.194718,478.6258021,PRIAs,Johnston,2015,nSPC,23,14.47613846,3.369851338,9.267108936,5.345036121,1.524404405,0.516627782,1.050522449
18,PRIAs,Kingman,2008,nSPC,7,273.8448709,191.3601218,53.21378563,19.16803727,10.10292619,14.46809258,NA,3721.074864,351.0841695,PRIAs,Kingman,2008,nSPC,7,70.12959136,62.09312189,32.87028128,6.651069652,5.602664527,0.722462773,NA
19,PRIAs,Kingman,2010,nSPC,19,352.1068114,215.8624836,100.9074,20.89750081,14.43942711,16.15868603,32.95867697,3721.074864,351.0841695,PRIAs,Kingman,2010,nSPC,19,69.37505035,44.2933881,38.06346164,3.615969067,5.632229936,0.617305832,2.938848861
20,PRIAs,Kingman,2012,nSPC,26,356.7810077,234.869007,49.59682669,54.14434135,18.17083266,16.00977488,29.49253794,3721.074864,351.0841695,PRIAs,Kingman,2012,nSPC,26,46.62345414,25.42839213,9.75676081,31.93082293,2.629546123,0.511705906,2.082038562
21,PRIAs,Kingman,2015,nSPC,34,224.4901402,143.6251977,54.63333149,17.30739796,8.924213052,15.61394255,25.68762926,3721.074864,351.0841695,PRIAs,Kingman,2015,nSPC,34,24.92119322,17.03714509,11.91912797,1.872825802,0.625842378,0.481844969,2.442228
22,PRIAs,Palmyra,2008,nSPC,28,96.31744377,50.12098706,9.119620701,25.39105309,11.68578292,12.1048213,NA,4212.741347,2793.351013,PRIAs,Palmyra,2008,nSPC,28,14.43027875,13.53802226,2.304764371,2.745477663,2.584547735,0.454916209,NA
23,PRIAs,Palmyra,2010,nSPC,38,179.7884211,74.93050176,19.65047728,70.29591876,14.91152333,13.19303987,25.07277101,4212.741347,2793.351013,PRIAs,Palmyra,2010,nSPC,38,35.40859363,15.97965524,4.426996187,24.88333858,2.669924923,0.380022017,1.660249358
24,PRIAs,Palmyra,2012,nSPC,42,176.495487,77.30544866,29.60890087,33.41747015,36.16366736,12.07513979,23.97836391,4212.741347,2793.351013,PRIAs,Palmyra,2012,nSPC,42,17.71538558,10.10076635,5.318738771,3.716458442,7.720010129,0.381513402,1.923597838
25,PRIAs,Palmyra,2015,nSPC,78,99.39496091,54.68854927,8.539430514,17.85190766,18.31507347,12.94511088,21.30967424,4212.741347,2793.351013,PRIAs,Palmyra,2015,nSPC,78,10.07454026,6.315080948,1.222601723,1.468394438,4.986860601,0.302165401,1.362922587
26,PRIAs,Wake,2009,nSPC,29,86.17965403,8.870014603,4.358037751,19.88609159,53.06551009,11.78040671,NA,1282.026705,279.7508828,PRIAs,Wake,2009,nSPC,29,37.79978624,2.189917675,0.807538489,3.491782518,37.12134742,0.299057191,NA
27,PRIAs,Wake,2011,nSPC,30,57.90710567,7.849486652,7.598384125,26.52630099,15.9329339,12.08226683,24.10817149,1282.026705,279.7508828,PRIAs,Wake,2011,nSPC,30,6.60363949,1.036420661,2.164588912,2.036522784,5.56071906,0.18970666,2.17920909
28,PRIAs,Wake,2014,nSPC,45,55.17082531,16.41190145,4.152623564,26.90542321,7.700877076,11.8152366,27.28450657,1282.026705,279.7508828,PRIAs,Wake,2014,nSPC,45,8.164629983,5.500551788,0.836136478,4.551961994,1.182718476,0.224716782,1.606203534
